index,time,dive-temperature,dive-depth,dive-speed
935,2025-12-12 09:56:45.974457+00:00,25.21,37.733000000000004,-0.4899999999999996
936,2025-12-12 09:57:06.680823+00:00,24.71,37.732,-0.00033333333333492493
936,2025-12-12 09:57:06.680823+00:00,24.68,37.747,0.005000000000000189
936,2025-12-12 09:57:06.680823+00:00,25.19,37.806999999999995,0.01999999999999839
936,2025-12-12 09:57:06.680823+00:00,26.37,37.901,0.0313333333333361
937,2025-12-12 09:57:27.398111+00:00,25.2,37.823,-0.026000000000000984
937,2025-12-12 09:57:27.398111+00:00,24.95,38.027,0.06800000000000021
937,2025-12-12 09:57:27.398111+00:00,24.89,37.935,-0.03066666666666625
937,2025-12-12 09:57:27.398111+00:00,24.97,38.075,0.046666666666666856
938,2025-12-12 09:57:37.927665+00:00,24.63,38.159,0.027999999999998693
938,2025-12-12 09:57:37.927665+00:00,24.62,38.08,-0.026333333333333542
938,2025-12-12 09:57:37.927665+00:00,24.51,38.208999999999996,0.04299999999999926
938,2025-12-12 09:57:37.927665+00:00,24.45,39.442,0.41100000000000136
939,2025-12-12 09:57:58.632344+00:00,24.53,35.94,-1.1673333333333342
939,2025-12-12 09:57:58.632344+00:00,24.58,35.913999999999994,-0.008666666666667785
939,2025-12-12 09:57:58.632344+00:00,24.81,36.23,0.10533333333333417
939,2025-12-12 09:57:58.632344+00:00,24.68,35.773,-0.1523333333333312
940,2025-12-12 09:58:19.123215+00:00,25.95,35.751000000000005,-0.0073333333333328215
940,2025-12-12 09:58:19.123215+00:00,25.59,35.891999999999996,0.046999999999997044
940,2025-12-12 09:58:19.123215+00:00,25.71,35.643,-0.08299999999999841
940,2025-12-12 09:58:19.123215+00:00,25.14,35.766999999999996,0.041333333333331744
941,2025-12-12 09:58:39.832552+00:00,26.22,35.714,-0.01766666666666576
941,2025-12-12 09:58:39.832552+00:00,24.81,35.828,0.03800000000000144
941,2025-12-12 09:58:39.832552+00:00,24.34,35.786,-0.014000000000000531
941,2025-12-12 09:58:39.832552+00:00,24.34,35.69,-0.032000000000001215
942,2025-12-12 09:59:00.519580+00:00,24.29,36.022,0.11066666666666691
